 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
RINCON CREEK,10/1/1913
 ,<Null>
 ,<Null>
 ,<Null>
 ,9/13/1913
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
N/A,9/7/1915
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
CASTAIC,6/23/1915
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
CHALK HILL,8/31/1915
 ,<Null>
 ,8/25/1915
 ,10/3/1915
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
CASTAIC,6/23/1915
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
SIMS GULCH #2,9/11/1916
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
BACCHI FIRE,7/26/1916
 ,<Null>
 ,<Null>
SHEEP MT. FIRE,8/30/1916
BUCKHORN,11/13/1916
 ,<Null>
 ,<Null>
SIMS GULCH,8/24/1916
 ,8/27/1916
