UNIT_ID,FIRE_NAME,CAUSE,ALARM_DATE_Con
Monterey - San Benito CDF,STONEWALL,14 - Unknown / Unidentified,8/3/1998
Modoc National Forest,NORTH CROWDER,1 - Lightning,8/22/1998
Kern County,AERA,11 - Powerline,7/11/1998
Riverside CDF,WEIRICK,1 - Lightning,8/31/1998
Riverside CDF,TAYLOR,2 - Equipment Use,10/5/1998
Tehama - Glenn CDF,POWERHOUSE,2 - Equipment Use,8/2/1998
Kern County,BRECKENRIDGE,1 - Lightning,9/2/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Santa Clara CDF,GREENRIDGE #6,11 - Powerline,<Null>
Camp Roberts Military Base, ,14 - Unknown / Unidentified,<Null>
Nevada - Yuba - Placer CDF,BEALE ASSIST,3 - Smoking,9/4/1998
Sequoia National Forest,YANKEE,9 - Miscellaneous,8/31/1998
San Diego CDF,SUMMIT,14 - Unknown / Unidentified,7/17/1998
Riverside CDF,COUNTRY,7 - Arson,8/9/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Tehama - Glenn CDF,MANTON #3,2 - Equipment Use,8/2/1998
Santa Clara CDF,580 #6,14 - Unknown / Unidentified,<Null>
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
San Bernardino CDF,STALLION FIRE,14 - Unknown / Unidentified,7/27/1998
Sierra National Forest,ROUGH,4 - Campfire,10/20/1998
Madera - Mariposa CDF,152 FIRE,7 - Arson,9/9/1998
Six Rivers National Forest,BUCK,9 - Miscellaneous,9/13/1998
Sonoma - Lake - Napa CDF,PHILLIPS,2 - Equipment Use,10/30/1998
Kern County,WOLF,2 - Equipment Use,7/15/1998
San Luis Obispo CDF,TRAIL,14 - Unknown / Unidentified,7/10/1998
San Bernardino CDF,COVINGTON FIRE,14 - Unknown / Unidentified,6/23/1998
Kern County,STEVENSON,14 - Unknown / Unidentified,10/20/1998
San Luis Obispo CDF,CALIF. VALLEY CSD,14 - Unknown / Unidentified,7/20/1998
Madera - Mariposa CDF,CANAL,7 - Arson,7/3/1998
Riverside CDF,STATE 1179,2 - Equipment Use,8/16/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Riverside CDF,SIERRA,2 - Equipment Use,8/4/1998
Kern County,BENA,10 - Vehicle,6/28/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Kern County,GRAPEVINE,10 - Vehicle,7/20/1998
Riverside CDF,LEE,14 - Unknown / Unidentified,8/2/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Madera - Mariposa CDF,152 FIRE,14 - Unknown / Unidentified,6/16/1998
Sequoia National Forest,ROBINSON,9 - Miscellaneous,8/21/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Camp Roberts Military Base, ,13 - Non-Firefighter Training,5/29/1998
Los Angeles County,DERBY FIRE,14 - Unknown / Unidentified,9/19/1998
Nevada - Yuba - Placer CDF,SMART,7 - Arson,9/4/1998
San Bernardino CDF,MANZANAR FIRE,14 - Unknown / Unidentified,<Null>
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Sequoia National Forest,STINE,9 - Miscellaneous,8/18/1998
Santa Clara CDF,CURIE,7 - Arson,<Null>
San Bernardino CDF, ,14 - Unknown / Unidentified,8/31/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Fresno-Kings CDF,LOS GATOS,1 - Lightning,9/3/1998
Siskiyou CDF,SHASTINA,14 - Unknown / Unidentified,8/4/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
San Luis Obispo CDF,BITTERWATER,14 - Unknown / Unidentified,10/18/1998
Sequoia National Forest,OLIVER,8 - Playing with fire,6/20/1998
Los Angeles County,WEST FIRE,14 - Unknown / Unidentified,7/10/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
San Diego CDF,FEATHERSTONE,14 - Unknown / Unidentified,8/21/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Angeles National Forest,SAN FRAN,9 - Miscellaneous,7/20/1998
San Bernardino CDF,OAK CANYON FIRE,4 - Campfire,7/16/1998
Madera - Mariposa CDF,PACHECO,7 - Arson,9/9/1998
Santa Clara CDF,SIBLEY #2,7 - Arson,<Null>
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Los Angeles County,PALMDALE FIRE,14 - Unknown / Unidentified,8/7/1998
Mendocino National Forest,HAUL,7 - Arson,9/1/1998
Bakersfield District - BLM,PENTLAND,11 - Powerline,6/6/1998
Tuolumne - Calaveras CDF,HWY 120 #3,10 - Vehicle,9/8/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
San Diego CDF,JAMACHA,14 - Unknown / Unidentified,7/17/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Mendocino National Forest,GARCIA,2 - Equipment Use,9/2/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Bakersfield District - BLM,SPANISH,7 - Arson,7/4/1998
Yosemite National Park,HARDEN,1 - Lightning,<Null>
Ventura County,SOUTH MOUNTAIN,14 - Unknown / Unidentified,11/4/1998
San Luis Obispo CDF,DIEFENDERFER,14 - Unknown / Unidentified,8/6/1998
Sequoia National Forest,OAK,9 - Miscellaneous,7/10/1998
Santa Clara CDF,DEL PUERTO,9 - Miscellaneous,12/10/1998
Los Angeles County,H FIRE,14 - Unknown / Unidentified,7/3/1998
Camp Roberts Military Base, ,14 - Unknown / Unidentified,8/31/1998
Bakersfield District - BLM,STANDARD,11 - Powerline,9/20/1998
Riverside CDF,LEWIN FIRE,2 - Equipment Use,8/25/1998
Ventura County,RANCH,14 - Unknown / Unidentified,8/14/1998
Six Rivers National Forest, ,14 - Unknown / Unidentified,10/1/1998
Santa Clara CDF,BRUNS,11 - Powerline,8/20/1998
Los Padres National Forest,LOGAN,9 - Miscellaneous,8/4/1997
Los Padres National Forest,HOPPER,9 - Miscellaneous,8/5/1997
Angeles National Forest,NARROWS,5 - Debris,8/13/1997
Kern County,CHOCTAW,7 - Arson,8/19/1997
Kern County,MIDWAY,7 - Arson,6/21/1997
Riverside CDF,PAUBA,9 - Miscellaneous,8/31/1997
Orange County,BAKER,14 - Unknown / Unidentified,10/13/1997
Nevada - Yuba - Placer CDF,WILLIAMS,9 - Miscellaneous,9/27/1997
Sequoia National Forest,JACKS,1 - Lightning,8/8/1997
Kern County,LOKERN TWO,10 - Vehicle,5/19/1997
San Bernardino National Forest,HEMLOCK FIRE - JULY,8 - Playing with fire,7/5/1997
Sequoia National Forest,CHOKE,1 - Lightning,8/6/1997
Los Angeles County,CANYON II FIRE,14 - Unknown / Unidentified,7/1/1997
Riverside CDF,STATE,3 - Smoking,9/24/1997
Kern County,COTTONWOOD,7 - Arson,5/8/1997
Santa Barbara County,SANTA ROSA,14 - Unknown / Unidentified,8/20/1997
Sequoia National Forest,COFFEE,9 - Miscellaneous,9/24/1997
Riverside CDF,BEACH,9 - Miscellaneous,5/9/1997
San Diego CDF,ALL ACRES IN MEX,14 - Unknown / Unidentified,7/3/1997
Bakersfield District - BLM,AMERICAN,11 - Powerline,9/19/1997
Riverside CDF,POPPET,7 - Arson,9/23/1997
Kern County,GRANITE,10 - Vehicle,5/22/1997
Fresno-Kings CDF,GROVE,1 - Lightning,5/19/1997
Kern County,POSO,11 - Powerline,8/10/1997
Vandenberg Air Force Base,AZALEA,8 - Playing with fire,9/27/1997
San Bernardino National Forest,MILL,9 - Miscellaneous,9/13/1997
San Bernardino CDF,SCOTCH FIRE,14 - Unknown / Unidentified,8/14/1997
Kern County,COMANCHE,10 - Vehicle,8/19/1997
Lassen Volcanic NP,HUFFER WF,1 - Lightning,<Null>
Sequoia National Forest,TOWER,1 - Lightning,7/4/1997
San Diego CDF,MARGARITA,14 - Unknown / Unidentified,9/4/1997
Vandenberg Air Force Base,HALOWEEN,3 - Smoking,10/31/1997
Lassen Volcanic NP,HUFFER PNF,1 - Lightning,<Null>
San Diego CDF,DEL DIOS,7 - Arson,9/24/1997
Madera - Mariposa CDF,MILE,14 - Unknown / Unidentified,<Null>
Kern County,OSO,14 - Unknown / Unidentified,9/9/1997
Madera - Mariposa CDF,DRY CREEK,14 - Unknown / Unidentified,<Null>
Santa Barbara County,RANGE,18 - Escaped Prescribed Burn,9/23/1997
Tehama - Glenn CDF,PONDEROSA,7 - Arson,<Null>
San Bernardino CDF,WILDWOOD FIRE,11 - Powerline,9/22/1997
Sequoia National Forest,DEMOCRAT,7 - Arson,9/24/1997
San Diego CDF,LAUREL,11 - Powerline,8/1/1997
Lassen - Modoc CDF,GOOCH,14 - Unknown / Unidentified,8/4/1997
San Diego CDF,WOHLFORD,7 - Arson,8/1/1997
Inyo National Forest,TOWER II,1 - Lightning,5/18/1997
San Diego CDF,SLAUGHTERHOUSE,2 - Equipment Use,7/30/1997
Riverside CDF,PERRIS LAKE,2 - Equipment Use,4/26/1997
Los Angeles County,SIERRA FIRE,14 - Unknown / Unidentified,8/18/1997
Santa Clara CDF,BLACK DIAMOND MI,14 - Unknown / Unidentified,<Null>
Tahoe National Forest,MAYBERT,5 - Debris,5/21/1997
Los Angeles County,K I C FIRE,14 - Unknown / Unidentified,5/6/1997
Los Angeles County,PLACERITA FIRE,14 - Unknown / Unidentified,7/3/1997
San Diego CDF,PALA,14 - Unknown / Unidentified,8/20/1997
Bakersfield District - BLM,COUNTYLINE,2 - Equipment Use,5/12/1997
Santa Barbara County,JANEWAY,2 - Equipment Use,5/23/1997
Los Angeles County,SHOOTING FIRE,14 - Unknown / Unidentified,5/1/1997
Riverside CDF,CALIMESA,2 - Equipment Use,6/10/1997
Vandenberg Air Force Base,GLOBE,11 - Powerline,9/1/1997
Tulare County,LEWIS,2 - Equipment Use,6/6/1997
Tuolumne - Calaveras CDF,PRIEST #2,7 - Arson,9/8/1997
Tulare County,SCHOOL,14 - Unknown / Unidentified,8/12/1997
Los Padres National Forest,HOMESTEAD,9 - Miscellaneous,9/28/1997
San Luis Obispo CDF,MONTANA,14 - Unknown / Unidentified,11/1/1997
Sequoia National Forest,STINE,1 - Lightning,5/30/1997
Cleveland National Forest,EAST GRADE,9 - Miscellaneous,3/11/1997
Orange County,SANTIAGO,10 - Vehicle,9/2/1997
Tulare County,LEWIS,2 - Equipment Use,6/13/1997
Sonoma - Lake - Napa CDF,MARKLEY,4 - Campfire,8/3/1997
Camp Roberts Military Base, ,12 - Firefighter Training,<Null>
Kern County,LOKERN,11 - Powerline,5/7/1997
Ventura County,SISAR,14 - Unknown / Unidentified,10/22/1997
Amador - El Dorado CDF,HICKOK,9 - Miscellaneous,6/27/1997
Sequoia - Kings Canyon NP,SUGARLOAF,1 - Lightning,8/15/1997
Riverside CDF,BROWN,7 - Arson,5/10/1997
Bakersfield District - BLM,EUCALYPTUS,18 - Escaped Prescribed Burn,8/25/1997
Northern CA District - BLM,SHU DEADWO,3 - Smoking,8/9/1997
San Diego CDF,YSABEL,2 - Equipment Use,9/10/1997
Sequoia - Kings Canyon NP,AMPHITHEA,18 - Escaped Prescribed Burn,9/23/1997
Bakersfield District - BLM,HILL,11 - Powerline,4/4/1997
San Luis Obispo CDF,MCMILLIAN,14 - Unknown / Unidentified,7/31/1997
Los Angeles County,LINDA FIRE,14 - Unknown / Unidentified,5/1/1997
Sequoia National Forest,THORTON,1 - Lightning,9/4/1997
Sequoia National Forest,HIGHWAY,9 - Miscellaneous,8/8/1997
Los Angeles County,AMARILLO/TANK FIRE,14 - Unknown / Unidentified,7/18/1997
Orange County,COTO,8 - Playing with fire,5/29/1997
San Diego CDF,BLACK,14 - Unknown / Unidentified,10/14/1997
Los Angeles County,GORMAN FIRE,14 - Unknown / Unidentified,8/5/1997
Tuolumne - Calaveras CDF,JACK,7 - Arson,7/26/1997
Vandenberg Air Force Base,BOAT_HOUSE,18 - Escaped Prescribed Burn,9/5/1997
Santa Clara CDF,BLACK DIAMOND ES,9 - Miscellaneous,<Null>
San Diego CDF,"FOUR ""S""",14 - Unknown / Unidentified,10/13/1997
Sequoia National Forest,NELSON,9 - Miscellaneous,4/17/1997
Tuolumne - Calaveras CDF,PRIEST,7 - Arson,7/26/1997
Los Angeles County,SOLEDAD FIRE,14 - Unknown / Unidentified,7/20/1997
Tulare County,CARANTON,2 - Equipment Use,5/17/1997
Riverside CDF,STATE,2 - Equipment Use,8/8/1997
Riverside CDF,GAVILAN,14 - Unknown / Unidentified,7/2/1997
Santa Clara CDF,SITE 300,11 - Powerline,<Null>
Riverside CDF,PATTERSON,9 - Miscellaneous,9/7/1997
Riverside CDF,STATE,2 - Equipment Use,7/4/1997
Camp Roberts Military Base, ,14 - Unknown / Unidentified,<Null>
Los Angeles County,BONELLI FIRE,14 - Unknown / Unidentified,7/3/1997
San Diego CDF,EAGLE,9 - Miscellaneous,9/2/1997
Los Angeles County,RHAPSODY FIRE,14 - Unknown / Unidentified,11/1/1997
Santa Clara CDF,BENNY,10 - Vehicle,<Null>
Riverside CDF,OLIVE,14 - Unknown / Unidentified,8/5/1997
Mendocino CDF,HANSON,2 - Equipment Use,6/1/1997
Santa Clara CDF,PRIMEX,9 - Miscellaneous,<Null>
Yosemite National Park,KIBBIE,1 - Lightning,5/12/1997
Los Padres National Forest,HIGHWAY 58,9 - Miscellaneous,8/15/1996
Mendocino National Forest,FORK,7 - Arson,8/11/1996
Yosemite National Park,ACKERSON,1 - Lightning,8/14/1996
Los Padres National Forest,WILD,7 - Arson,10/7/1996
Madera - Mariposa CDF,MERCY,14 - Unknown / Unidentified,<Null>
Modoc National Forest,DAMON/LONG,1 - Lightning,8/26/1996
Stanislaus National Forest,ROGGE,1 - Lightning,8/14/1996
Bakersfield District - BLM,SKYLINE,11 - Powerline,4/27/1996
Los Angeles County,MARPLE FIRE,14 - Unknown / Unidentified,8/26/1996
San Diego CDF,OTAY #322,4 - Campfire,10/22/1996
Riverside CDF,WOLFSKILL COMPLEX,3 - Smoking,8/12/1996
Los Angeles County,CALABASAS FIRE,14 - Unknown / Unidentified,10/21/1996
Ventura County,GRAND,9 - Miscellaneous,7/2/1996
San Bernardino National Forest,BEE #2,9 - Miscellaneous,6/29/1996
San Diego CDF,HARMONY,2 - Equipment Use,10/21/1996
Amador - El Dorado CDF,SCOTT,7 - Arson,8/2/1996
Bakersfield District - BLM,PANOCHE II,11 - Powerline,4/27/1996
Kern County,WHITE OAK,7 - Arson,7/23/1996
Toiyab National Forest, ,7 - Arson,8/5/1996
Fresno-Kings CDF,TRIMMER 2,7 - Arson,8/17/1996
Tuolumne - Calaveras CDF,LIGHTNING # 29,1 - Lightning,8/12/1996
Sequoia - Kings Canyon NP,KAWEAH,10 - Vehicle,8/13/1996
Los Padres National Forest,SUR,9 - Miscellaneous,10/18/1996
Bakersfield District - BLM,GILBRETH,7 - Arson,7/19/1996
Plumas National Forest,MADDALENA,2 - Equipment Use,7/25/1996
Toiyab National Forest, ,8 - Playing with fire,6/23/1996
Madera - Mariposa CDF,STUMPFIELD,14 - Unknown / Unidentified,8/1/1996
Sequoia - Kings Canyon NP,BIG ARROY,1 - Lightning,8/2/1996
San Diego CDF,HONEY,14 - Unknown / Unidentified,1/10/1996
Sequoia National Forest,CANYON,9 - Miscellaneous,6/4/1996
Tuolumne - Calaveras CDF,LIGHTNING # 40,1 - Lightning,8/12/1996
Bakersfield District - BLM,HWY 41,7 - Arson,5/1/1996
Sonoma - Lake - Napa CDF,GATES,14 - Unknown / Unidentified,<Null>
Bakersfield District - BLM,7 MILE,2 - Equipment Use,5/23/1996
Los Padres National Forest,WASIOJA,2 - Equipment Use,7/3/1996
Modoc National Forest,HORSE,1 - Lightning,8/10/1996
Sequoia - Kings Canyon NP,CASTLE CO,1 - Lightning,7/26/1996
Sequoia National Forest,CHALOLO #1,7 - Arson,8/18/1996
Tuolumne - Calaveras CDF,LIGHTNING #14,1 - Lightning,8/12/1996
Toiyab National Forest,COLEVILLE,<Null>,<Null>
Shasta-Trinity National Forest,ROCK,1 - Lightning,8/13/1996
Sequoia National Forest,BOREL,9 - Miscellaneous,8/1/1996
Modoc National Forest,DALTON 3,1 - Lightning,8/28/1996
Bakersfield District - BLM,OVERLOOK,18 - Escaped Prescribed Burn,5/20/1996
Inyo National Forest,SAGE FLAT,2 - Equipment Use,7/15/1996
Sonoma - Lake - Napa CDF,PG&E #8,14 - Unknown / Unidentified,8/2/1996
San Diego CDF,RINCON,2 - Equipment Use,10/21/1996
Riverside CDF,PECHANGA,14 - Unknown / Unidentified,6/29/1996
Kern County,OIL,7 - Arson,6/17/1996
Riverside CDF,PHILADELPHIA,14 - Unknown / Unidentified,7/20/1996
Angeles National Forest,BICHOTA,4 - Campfire,6/29/1996
Madera - Mariposa CDF,BANOS,14 - Unknown / Unidentified,10/19/1996
Nevada - Yuba - Placer CDF,COLUMBIA HILL,5 - Debris,10/21/1996
Butte CDF,PALERMO,9 - Miscellaneous,10/20/1996
Angeles National Forest,RESERVOIR,2 - Equipment Use,8/24/1996
Sequoia - Kings Canyon NP,DORST,1 - Lightning,6/27/1996
Lassen - Modoc CDF,DIXIE FIRE,14 - Unknown / Unidentified,8/16/1996
Bakersfield District - BLM,CUYAMA,5 - Debris,7/3/1996
Ventura County,GORGE,1 - Lightning,7/11/1996
San Diego CDF,SHEEP,14 - Unknown / Unidentified,4/21/1996
Riverside CDF,DOUBLE,7 - Arson,8/29/1996
Bakersfield District - BLM,GOOSE,7 - Arson,7/4/1996
Bakersfield District - BLM,WESTFIELD,7 - Arson,10/28/1996
Bakersfield District - BLM,PANOCHE,11 - Powerline,4/15/1996
Riverside CDF,KITCHING,2 - Equipment Use,6/30/1996
Tuolumne - Calaveras CDF,LIGHTNING #12,1 - Lightning,8/12/1996
Plumas National Forest,COOKS,2 - Equipment Use,8/9/1996
Sequoia National Forest,SIERRA,9 - Miscellaneous,6/24/1996
Riverside CDF,DIEGO,14 - Unknown / Unidentified,7/2/1996
Santa Clara CDF,DEL VALLE,2 - Equipment Use,6/8/1996
Riverside CDF,DRIP,9 - Miscellaneous,6/2/1996
Riverside CDF,PONY,10 - Vehicle,5/13/1996
Riverside CDF,CIRCLE,2 - Equipment Use,6/29/1996
Lassen - Modoc CDF,BYERS FIRE,14 - Unknown / Unidentified,7/3/1996
Six Rivers National Forest,PANTHER,7 - Arson,9/26/1996
Bakersfield District - BLM,WARTHAN,9 - Miscellaneous,8/8/1996
Toiyab National Forest,MT. JACKSON,1 - Lightning,8/12/1996
Riverside CDF,WOLFSKILL BR3,9 - Miscellaneous,8/15/1996
Madera - Mariposa CDF,COTTON,14 - Unknown / Unidentified,<Null>
Yosemite National Park,KENDRICK,1 - Lightning,8/10/1996
San Diego CDF,OTAY #28,2 - Equipment Use,4/15/1996
San Diego CDF,EGG,14 - Unknown / Unidentified,6/19/1996
Riverside CDF,RECHE,2 - Equipment Use,6/2/1996
Los Angeles County,CAMP ANF FIRE,14 - Unknown / Unidentified,9/7/1996
Kern County,INDIAN,1 - Lightning,6/15/1996
Monterey - San Benito CDF,PG&E #13,14 - Unknown / Unidentified,6/23/1996
Madera - Mariposa CDF,CANAL,14 - Unknown / Unidentified,<Null>
Riverside CDF,LAKE,5 - Debris,5/14/1996
San Luis Obispo CDF,SUEY INCIDENT,14 - Unknown / Unidentified,7/23/1996
Madera - Mariposa CDF,DAULTON,14 - Unknown / Unidentified,<Null>
Monterey - San Benito CDF,INDIAN,14 - Unknown / Unidentified,6/29/1996
San Diego CDF,OTAY #121,4 - Campfire,4/29/1996
Riverside CDF,SOBOBA,8 - Playing with fire,6/23/1996
Death Valley NM,OAK FLAT,7 - Arson,10/10/1996
Riverside CDF,SHORT,2 - Equipment Use,6/1/1996
Riverside CDF,DOVE,2 - Equipment Use,6/29/1996
Sonoma - Lake - Napa CDF,GUENOC,14 - Unknown / Unidentified,<Null>
Monterey - San Benito CDF,PG&E #13,14 - Unknown / Unidentified,9/13/1996
Kern County,OREJANO,14 - Unknown / Unidentified,9/20/1996
Sequoia National Forest,WILLOW,1 - Lightning,7/11/1996
Bakersfield District - BLM,COOK,2 - Equipment Use,6/5/1996
Bakersfield District - BLM,POND,7 - Arson,9/30/1996
Camp Roberts Military Base, ,14 - Unknown / Unidentified,<Null>
Sequoia National Forest,DELONEGHA,7 - Arson,8/25/1996
San Diego CDF,OTAY #269,4 - Campfire,7/31/1996
Northern CA District - BLM, ,14 - Unknown / Unidentified,<Null>
Yosemite National Park,ILL,<Null>,<Null>
Riverside CDF,ORANGE,7 - Arson,8/24/1996
Los Angeles County,RANCH FIRE II,14 - Unknown / Unidentified,6/19/1996
Ventura County,ALISO II,14 - Unknown / Unidentified,11/12/1996
Tulare County,PARK,14 - Unknown / Unidentified,7/20/1996
Santa Clara CDF,WESTLEY,2 - Equipment Use,5/3/1996
Sonoma - Lake - Napa CDF,PORTER CREEK FIRE,14 - Unknown / Unidentified,<Null>
Madera - Mariposa CDF,DAULTON,14 - Unknown / Unidentified,<Null>
Riverside CDF,PARAMONT,8 - Playing with fire,6/1/1996
San Diego CDF,SPENCER,14 - Unknown / Unidentified,6/18/1996
San Bernardino CDF,WATERMAN 3,14 - Unknown / Unidentified,10/27/1996
Cleveland National Forest,CEDAR,4 - Campfire,6/10/1996
Ventura County,SEXTON II,14 - Unknown / Unidentified,9/24/1996
Bakersfield District - BLM,TAFT,7 - Arson,10/7/1996
Santa Clara CDF,PATTERSON,2 - Equipment Use,8/3/1996
Riverside CDF,CHISHOLM,2 - Equipment Use,6/10/1996
Shasta-Trinity National Forest,MORRIS,1 - Lightning,8/13/1996
San Diego CDF,PALA,11 - Powerline,5/17/1996
Modoc National Forest,RANCH,1 - Lightning,8/26/1996
Shasta-Trinity National Forest,BUTCHER,1 - Lightning,8/13/1996
Butte CDF,HWY 162,5 - Debris,10/16/1996
Bakersfield District - BLM,HWY 33,7 - Arson,5/3/1996
Riverside CDF,LADDER,14 - Unknown / Unidentified,8/28/1996
San Bernardino National Forest,SABINA,2 - Equipment Use,9/3/1996
San Diego CDF,OTAY #268,9 - Miscellaneous,7/23/1996
Riverside CDF, ,14 - Unknown / Unidentified,9/30/1996
Riverside CDF,TRAMWAY,14 - Unknown / Unidentified,6/26/1996
Camp Roberts Military Base, ,12 - Firefighter Training,<Null>
Madera - Mariposa CDF,COTTONWOOD,14 - Unknown / Unidentified,8/23/1996
Bakersfield District - BLM,CORCORAN,7 - Arson,6/22/1996
Ventura County,ONDULANDO,14 - Unknown / Unidentified,7/6/1996
Kern County,DRY,14 - Unknown / Unidentified,9/30/1996
Madera - Mariposa CDF,MCSWAIN,14 - Unknown / Unidentified,<Null>
Sequoia National Forest,COW #1,7 - Arson,7/6/1996
Riverside CDF,ESPARANZA,7 - Arson,6/11/1996
Tuolumne - Calaveras CDF,MANUAL,1 - Lightning,8/12/1996
Riverside CDF,RECHE,2 - Equipment Use,6/26/1996
San Bernardino National Forest,WATERMAN 3,4 - Campfire,10/26/1996
San Bernardino National Forest, ,14 - Unknown / Unidentified,<Null>
Riverside CDF,JACKRABBIT,2 - Equipment Use,6/23/1996
Ventura County,POLI,14 - Unknown / Unidentified,10/25/1996
Bakersfield District - BLM,MIDWAY,3 - Smoking,7/17/1996
Riverside CDF,IDA,2 - Equipment Use,1/3/1996
San Bernardino National Forest, ,14 - Unknown / Unidentified,<Null>
Tahoe National Forest,MARTINECK,1 - Lightning,8/12/1996
Tulare County,LINDSAY,14 - Unknown / Unidentified,7/27/1996
Modoc National Forest,CLEAR LAKE,1 - Lightning,8/27/1996
Monterey - San Benito CDF,EADE,14 - Unknown / Unidentified,6/12/1996
Riverside CDF,MACK,2 - Equipment Use,5/5/1996
Sequoia - Kings Canyon NP,HOSPITAL,4 - Campfire,7/28/1996
Yosemite National Park,KIBBIE,1 - Lightning,<Null>
Riverside CDF,LAKE - RX AREA,5 - Debris,5/14/1996
Riverside CDF,NEWPORT,2 - Equipment Use,6/10/1996
San Bernardino CDF,RECHE,14 - Unknown / Unidentified,5/15/1996
Bakersfield District - BLM,TWENTYFIVE,2 - Equipment Use,9/1/1996
Riverside CDF,UNION,9 - Miscellaneous,4/29/1996
Siskiyou CDF,WILDLIFE,18 - Escaped Prescribed Burn,8/26/1996
San Diego CDF,OTAY #19,14 - Unknown / Unidentified,4/7/1996
Camp Roberts Military Base, ,14 - Unknown / Unidentified,<Null>
Yosemite National Park,ADAM,1 - Lightning,7/27/1996
Bakersfield District - BLM,B V II,4 - Campfire,7/30/1996
Angeles National Forest,NORTH FORK,2 - Equipment Use,7/12/1996
Bakersfield District - BLM,ELK 2,7 - Arson,8/21/1996
Los Angeles County,HASLEY FIRE,14 - Unknown / Unidentified,7/8/1996
Modoc National Forest,DALTON 2,1 - Lightning,8/26/1996
Los Angeles County,AGUA DULCE FIRE,14 - Unknown / Unidentified,6/2/1996
Modoc National Forest,LAKE,1 - Lightning,8/26/1996
San Bernardino CDF,BRYANT FIRE (EASTERN PORT),14 - Unknown / Unidentified,9/9/1996
Fresno-Kings CDF,TRIMMER,10 - Vehicle,7/28/1996
San Bernardino CDF,ESCAPETE,5 - Debris,6/1/1996
San Diego CDF,HWY 94,14 - Unknown / Unidentified,6/19/1996
Lassen Volcanic NP,CRATER WF,1 - Lightning,<Null>
Shasta-Trinity National Forest,ALTOONA,1 - Lightning,8/14/1996
Camp Roberts Military Base, ,14 - Unknown / Unidentified,<Null>
Bakersfield District - BLM,WIND GAP,11 - Powerline,5/12/1996
Modoc National Forest,ROCK (BSFMU #3),1 - Lightning,8/13/1996
Riverside CDF,RICHIE,7 - Arson,5/1/1996
San Diego CDF,RINCON,14 - Unknown / Unidentified,6/30/1996
Bakersfield District - BLM,RESERVE,11 - Powerline,6/11/1996
Santa Clara CDF,MINES ROAD,2 - Equipment Use,7/20/1996
Los Angeles County,POPPY FIRE,14 - Unknown / Unidentified,8/12/1996
Bakersfield District - BLM,SPANISH 11,3 - Smoking,6/19/1996
Riverside CDF,PAT,2 - Equipment Use,6/18/1996
Shasta-Trinity National Forest,EASTFORK,1 - Lightning,8/13/1996
Riverside CDF,CREAG,8 - Playing with fire,6/2/1996
Carson City District - BLM, ,14 - Unknown / Unidentified,<Null>
Lassen Volcanic NP,CRATERPNF,1 - Lightning,<Null>
Bakersfield District - BLM,CANYON,2 - Equipment Use,7/4/1996
San Bernardino CDF,ROUSE 2,14 - Unknown / Unidentified,8/24/1996
Northern CA District - BLM,RAVE,1 - Lightning,<Null>
Riverside CDF,TENAJA,14 - Unknown / Unidentified,6/20/1996
Riverside CDF,WALKER,7 - Arson,8/24/1996
Los Angeles County,BOUQUET FIRE,14 - Unknown / Unidentified,5/13/1996
Modoc National Forest,SURVEYORS,1 - Lightning,8/26/1996
Riverside CDF,FAIRBANKS,2 - Equipment Use,4/29/1996
Lassen - Modoc CDF,CENTER FIRE,14 - Unknown / Unidentified,7/16/1996
San Diego CDF,OTAY #245,4 - Campfire,6/25/1996
Los Angeles County,LIMA FIRE,14 - Unknown / Unidentified,5/2/1996
Siskiyou CDF,5TH,14 - Unknown / Unidentified,8/7/1996
Shasta-Trinity National Forest,RUSH,1 - Lightning,8/13/1996
San Bernardino National Forest, ,14 - Unknown / Unidentified,<Null>
Los Angeles County,FOOTHILL FIRE,14 - Unknown / Unidentified,8/30/1996
Riverside CDF,OAK,14 - Unknown / Unidentified,7/29/1996
Modoc National Forest,MOWITZ 1,1 - Lightning,8/26/1996
